,target_market,score,cover_image,sugar_result,fiber_result,sodium_result,sugar_per_serving,fiber_per_serving,sodium_per_serving,calories_per_serving,serving_size,index,url,sugar_result_perc,fiber_result_perc,calories_result_ratio,file_name,cropped_path
0,Family,50,http://cerealfacts.org/media/cereal_images/AnniesFruityBunnies.jpg,24%,3%,293,7,1,85,120,29,1,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=1,24,3,4.13793103448,img_001_anniesfruitybunnies.jpg,../img/cropped/img_001_anniesfruitybunnies_cropped.png
1,Family,52,http://cerealfacts.org/media/cereal_images/AnniesHoneyBunnies.jpg,24%,3%,310,7,1,90,110,29,2,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=2,24,3,3.79310344828,img_002_annieshoneybunnies.jpg,../img/cropped/img_002_annieshoneybunnies_cropped.png
2,Family,50,http://cerealfacts.org/media/cereal_images/AnniesCinnamonRollBunnyOs.jpg,24%,3%,293,7,1,85,120,29,3,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=3,24,3,4.13793103448,img_003_anniescinnamonrollbunnyos.jpg,../img/cropped/img_003_anniescinnamonrollbunnyos_cropped.png
3,Family,64,http://cerealfacts.org/media/cereal_images/AnniesOrganicBunnyOs.jpg,7%,3%,379,2,1,110,120,29,4,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=4,7,3,4.13793103448,img_004_anniesorganicbunnyos.jpg,../img/cropped/img_004_anniesorganicbunnyos_cropped.png
4,Family,58,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsPuffsCrunchyCocoa.jpg,23%,10%,267,7,3,80,120,30,5,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=5,23,10,4.0,img_005_barbarasbakerypuffinspuffscrunchycocoa.jpg,../img/cropped/img_005_barbarasbakerypuffinspuffscrunchycocoa_cropped.png
5,Family,54,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsPuffsFruitMedley.jpg,23%,3%,267,7,1,80,120,30,6,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=6,23,3,4.0,img_006_barbarasbakerypuffinspuffsfruitmedley.jpg,../img/cropped/img_006_barbarasbakerypuffinspuffsfruitmedley_cropped.png
6,Family,56,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsCinnamon.jpg,20%,20%,500,6,6,150,90,30,7,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=7,20,20,3.0,img_007_barbarasbakerypuffinscinnamon.jpg,../img/cropped/img_007_barbarasbakerypuffinscinnamon_cropped.png
7,Family,68,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsHoneyRice.jpg,20%,10%,267,6,3,80,120,30,8,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=8,20,10,4.0,img_008_barbarasbakerypuffinshoneyrice.jpg,../img/cropped/img_008_barbarasbakerypuffinshoneyrice_cropped.png
8,Family,46,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsPeanutButter.jpg,20%,7%,767,6,2,230,110,30,9,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=9,20,7,3.66666666667,img_009_barbarasbakerypuffinspeanutbutter.jpg,../img/cropped/img_009_barbarasbakerypuffinspeanutbutter_cropped.png
9,Family,50,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsOriginal.jpg,19%,19%,704,5,5,190,90,27,10,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=10,19,19,3.33333333333,img_010_barbarasbakerypuffinsoriginal.jpg,../img/cropped/img_010_barbarasbakerypuffinsoriginal_cropped.png
10,Family,58,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsPeanutButterChocolate.jpg,20%,10%,350,6,3,105,110,30,11,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=11,20,10,3.66666666667,img_011_barbarasbakerypuffinspeanutbutterchocolate.jpg,../img/cropped/img_011_barbarasbakerypuffinspeanutbutterchocolate_cropped.png
11,Family,68,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsMultigrain.jpg,20%,10%,267,6,3,80,110,30,12,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=12,20,10,3.66666666667,img_012_barbarasbakerypuffinsmultigrain.jpg,../img/cropped/img_012_barbarasbakerypuffinsmultigrain_cropped.png
12,Family,50,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedOatsCinnamonCrunch.jpg,27%,7%,400,15,4,220,230,55,13,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=13,27,7,4.18181818182,img_013_barbarasbakeryshreddedoatscinnamoncrunch.jpg,../img/cropped/img_013_barbarasbakeryshreddedoatscinnamoncrunch_cropped.png
13,Adult,52,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedOatsVanillaAlmond.jpg,27%,7%,382,15,4,210,220,55,14,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=14,27,7,4.0,img_014_barbarasbakeryshreddedoatsvanillaalmond.jpg,../img/cropped/img_014_barbarasbakeryshreddedoatsvanillaalmond_cropped.png
14,Adult,56,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedOatsOriginal.jpg,21%,9%,448,12,5,260,220,58,15,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=15,21,9,3.79310344828,img_015_barbarasbakeryshreddedoatsoriginal.jpg,../img/cropped/img_015_barbarasbakeryshreddedoatsoriginal_cropped.png
15,Adult,54,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedSpoonfulsMultigrain.jpg,16%,12%,625,5,4,200,120,32,16,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=16,16,12,3.75,img_016_barbarasbakeryshreddedspoonfulsmultigrain.jpg,../img/cropped/img_016_barbarasbakeryshreddedspoonfulsmultigrain_cropped.png
16,Adult,82,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedWheat.jpg,0%,12%,0,0,5,0,140,40,17,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=17,0,12,3.5,img_017_barbarasbakeryshreddedwheat.jpg,../img/cropped/img_017_barbarasbakeryshreddedwheat_cropped.png
