target_market,score,cover_image,sugar_result,fiber_result,sodium_result,sugar_per_serving,fiber_per_serving,sodium_per_serving,calories_per_serving,serving_size,index,url
Family,50,http://cerealfacts.org/media/cereal_images/AnniesFruityBunnies.jpg,24%,3%,293,7,1,85,120,29,1,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=1
Family,52,http://cerealfacts.org/media/cereal_images/AnniesHoneyBunnies.jpg,24%,3%,310,7,1,90,110,29,2,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=2
Family,50,http://cerealfacts.org/media/cereal_images/AnniesCinnamonRollBunnyOs.jpg,24%,3%,293,7,1,85,120,29,3,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=3
Family,64,http://cerealfacts.org/media/cereal_images/AnniesOrganicBunnyOs.jpg,7%,3%,379,2,1,110,120,29,4,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=4
Family,58,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsPuffsCrunchyCocoa.jpg,23%,10%,267,7,3,80,120,30,5,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=5
Family,54,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsPuffsFruitMedley.jpg,23%,3%,267,7,1,80,120,30,6,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=6
Family,56,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsCinnamon.jpg,20%,20%,500,6,6,150,90,30,7,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=7
Family,68,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsHoneyRice.jpg,20%,10%,267,6,3,80,120,30,8,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=8
Family,46,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsPeanutButter.jpg,20%,7%,767,6,2,230,110,30,9,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=9
Family,50,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsOriginal.jpg,19%,19%,704,5,5,190,90,27,10,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=10
Family,58,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsPeanutButterChocolate.jpg,20%,10%,350,6,3,105,110,30,11,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=11
Family,68,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsMultigrain.jpg,20%,10%,267,6,3,80,110,30,12,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=12
Family,50,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedOatsCinnamonCrunch.jpg,27%,7%,400,15,4,220,230,55,13,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=13
Adult,52,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedOatsVanillaAlmond.jpg,27%,7%,382,15,4,210,220,55,14,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=14
Adult,56,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedOatsOriginal.jpg,21%,9%,448,12,5,260,220,58,15,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=15
Adult,54,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedSpoonfulsMultigrain.jpg,16%,12%,625,5,4,200,120,32,16,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=16
Adult,82,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedWheat.jpg,0%,12%,0,0,5,0,140,40,17,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=17
Adult,58,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedMinisBlueberryBurst.jpg,25%,7%,255,14,4,140,220,55,18,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=18
Adult,70,http://cerealfacts.org/media/cereal_images/BarbarasBakeryUltimaOrganicCranberry.jpg,20%,18%,255,11,10,140,190,55,19,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=19
Adult,72,http://cerealfacts.org/media/cereal_images/BarbarasBakeryUltimaOrganicFlaxGranola.jpg,16%,18%,255,9,10,140,200,55,20,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=20
Adult,72,http://cerealfacts.org/media/cereal_images/BarbarasBakeryUltimaOrganicHighFiberOriginal.jpg,15%,25%,255,8,14,140,180,55,21,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=21
Adult,54,http://cerealfacts.org/media/cereal_images/BarbarasBakeryHoleNOatsHoneyNut.jpg,33%,7%,267,10,2,80,120,30,22,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=22
Adult,78,http://cerealfacts.org/media/cereal_images/BarbarasBakeryHoleNOatsFruitJuiceSweetened.jpg,3%,10%,267,1,3,80,120,30,23,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=23
Adult,68,http://cerealfacts.org/media/cereal_images/BarbarasBakeryCornFlakes.jpg,10%,3%,267,3,1,80,110,30,24,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=24
Adult,70,http://cerealfacts.org/media/cereal_images/BarbarasBakeryBrownRiceCrisps.jpg,3%,3%,317,1,1,95,120,30,25,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=25
Family,50,http://cerealfacts.org/media/cereal_images/CFCinnamonCrunch.jpg,30%,11%,389,8,3,105,110,27,26,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=26
Child,52,http://cerealfacts.org/media/cereal_images/CFCliffordCrunch.jpg,27%,10%,533,8,3,160,110,30,27,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=27
Adult,50,http://cerealfacts.org/media/cereal_images/CFGranolaCinnamonRaisin.jpg,29%,5%,364,16,3,200,210,55,28,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=28
Adult,54,http://cerealfacts.org/media/cereal_images/CFGranolaFruitNut.jpg,27%,6%,183,14,3,95,210,52,29,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=29
Adult,54,http://cerealfacts.org/media/cereal_images/CFGranolaMapleBrownSugar.jpg,25%,5%,291,14,3,160,220,55,30,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=30
Adult,54,http://cerealfacts.org/media/cereal_images/CFGranolaOatsHoney.jpg,24%,5%,218,13,3,120,230,55,31,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=31
Adult,56,http://cerealfacts.org/media/cereal_images/CFGranolaFrenchVanillaAlmond.jpg,26%,6%,170,13,3,85,210,50,32,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=32
Adult,52,http://cerealfacts.org/media/cereal_images/CFGranolaDarkChocolateAlmond.jpg,27%,8%,308,14,4,160,210,52,33,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=33
Adult,48,http://cerealfacts.org/media/cereal_images/CFHeartyMorning.jpg,20%,15%,655,11,8,360,200,55,34,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=34
Family,50,http://cerealfacts.org/media/cereal_images/CFHoneyNutOs.jpg,23%,10%,567,7,3,170,110,30,35,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=35
Adult,70,http://cerealfacts.org/media/cereal_images/CFMultigrainSquares.jpg,13%,7%,383,4,2,115,110,30,36,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=36
Family,58,http://cerealfacts.org/media/cereal_images/CFPurelyOs.jpg,3%,10%,633,1,3,190,110,30,37,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=37
Adult,50,http://cerealfacts.org/media/cereal_images/CFRaisinBran.jpg,25%,11%,618,14,6,340,180,55,38,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=38
Family,54,http://cerealfacts.org/media/cereal_images/CFChocolateOs.jpg,29%,11%,339,8,3,95,100,28,39,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=39
Family,50,http://cerealfacts.org/media/cereal_images/CFFruitfulOs.jpg,29%,11%,464,8,3,130,100,28,40,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=40
Adult,50,http://cerealfacts.org/media/cereal_images/GMBasic4.jpg,24%,7%,509,13,4,280,200,55,41,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=41
Family,44,http://cerealfacts.org/media/cereal_images/GMBooBerry.jpg,30%,3%,576,10,1,190,130,33,42,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=42
