cf_index,cf_score,cf_target_market,cf_serving_size,cf_sugar_result,cf_fiber_result,cf_sodium_result,cf_sugar_per_serving,cf_fiber_per_serving,cf_sodium_per_serving,cf_calories_per_serving,has_white_bg,has_character,has_downward_gaze,greyscale_peak,b_mean,g_mean,r_mean,b_sd,g_sd,r_sd,most_frequent_colour,most_frequent_colour_count,most_dominant_colour,url,cover_image_url,fn,fn_cropped,company
1,50,Family,29,24%,3%,293,7,1,85,120,0,1,0,95,35.58,71.37,208.29,54.28,86.32,62.01,#e70000,256,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=1,http://cerealfacts.org/media/cereal_images/AnniesFruityBunnies.jpg,img_001_anniesfruitybunnies.jpg,img_001_anniesfruitybunnies_cropped.png,Annie's
2,52,Family,29,24%,3%,310,7,1,90,110,0,1,0,115,53.31,107.21,195.62,46.53,48.07,54.99,#d8501e,256,brown,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=2,http://cerealfacts.org/media/cereal_images/AnniesHoneyBunnies.jpg,img_002_annieshoneybunnies.jpg,img_002_annieshoneybunnies_cropped.png,Annie's
3,50,Family,29,24%,3%,293,7,1,85,120,0,1,0,114,65.4,123.12,191.4,52.63,60.91,40.15,#bd582a,256,brown,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=3,http://cerealfacts.org/media/cereal_images/AnniesCinnamonRollBunnyOs.jpg,img_003_anniescinnamonrollbunnyos.jpg,img_003_anniescinnamonrollbunnyos_cropped.png,Annie's
4,64,Family,29,7%,3%,379,2,1,110,120,0,1,0,51,95.78,78.63,115.69,47.58,71.51,58.18,#581680,1272,brown,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=4,http://cerealfacts.org/media/cereal_images/AnniesOrganicBunnyOs.jpg,img_004_anniesorganicbunnyos.jpg,img_004_anniesorganicbunnyos_cropped.png,Annie's
5,58,Family,30,23%,10%,267,7,3,80,120,0,1,0,171,108.41,153.04,186.66,48.37,51.09,53.44,#ffffff,681,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=5,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsPuffsCrunchyCocoa.jpg,img_005_barbarasbakerypuffinspuffscrunchycocoa.jpg,img_005_barbarasbakerypuffinspuffscrunchycocoa_cropped.png,Barbara's Bakery
6,54,Family,30,23%,3%,267,7,1,80,120,0,1,0,182,128.18,163.73,198.0,50.96,58.7,55.28,#ffffff,672,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=6,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsPuffsFruitMedley.jpg,img_006_barbarasbakerypuffinspuffsfruitmedley.jpg,img_006_barbarasbakerypuffinspuffsfruitmedley_cropped.png,Barbara's Bakery
7,56,Family,30,20%,20%,500,6,6,150,90,0,1,0,167,103.42,143.66,183.07,48.73,49.13,49.88,#c8ac87,256,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=7,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsCinnamon.jpg,img_007_barbarasbakerypuffinscinnamon.jpg,img_007_barbarasbakerypuffinscinnamon_cropped.png,Barbara's Bakery
8,68,Family,30,20%,10%,267,6,3,80,120,0,1,0,167,113.46,141.63,175.29,45.86,52.41,50.26,#bc9e78,256,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=8,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsHoneyRice.jpg,img_008_barbarasbakerypuffinshoneyrice.jpg,img_008_barbarasbakerypuffinshoneyrice_cropped.png,Barbara's Bakery
9,46,Family,30,20%,7%,767,6,2,230,110,0,1,0,167,104.14,137.38,174.56,47.57,55.44,55.31,#c5a781,690,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=9,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsPeanutButter.jpg,img_009_barbarasbakerypuffinspeanutbutter.jpg,img_009_barbarasbakerypuffinspeanutbutter_cropped.png,Barbara's Bakery
10,50,Family,27,19%,19%,704,5,5,190,90,0,1,0,167,123.32,152.62,183.37,49.18,50.39,50.71,#c0a381,82,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=10,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsOriginal.jpg,img_010_barbarasbakerypuffinsoriginal.jpg,img_010_barbarasbakerypuffinsoriginal_cropped.png,Barbara's Bakery
